Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
10,77.74078043,84,Yes,56,Fail
27,53.17559148,57,No,50,Fail
23,72.54552237,62,No,50,Fail
32,75.58285068,86,Yes,63,Pass
29,53.79667052,53,Yes,50,Fail
31,68.26784098,86,Yes,63,Pass
28,90.03748857,78,No,67,Pass
34,58.27566587,51,No,54,Fail
25,50.13554497,83,Yes,50,Fail
27,88.26781405,64,Yes,67,Pass
28,96.20208796,83,Yes,67,Pass
31,67.14634321,58,No,50,Fail
37,90.29324434,52,No,56,Fail
39,99.86277674,83,No,64,Pass
34,80.8631856,94,Yes,65,Pass
39,99.86277674,83,No,64,Pass
22,53.44607697,61,Yes,50,Fail
28,87.21248259,75,No,65,Pass
38,68.15296061,79,Yes,60,Pass
39,54.61452931,73,Yes,60,Pass
36,95.92273625,88,No,64,Pass
26,64.39648082,53,Yes,50,Fail
21,72.59743006,80,No,58,Fail
38,68.15296061,79,Yes,60,Pass
38,94.98236986,84,No,71,Pass
35,59.97534637,75,No,59,Fail
31,67.57700806,96,Yes,62,Pass
38,81.20507721,59,No,60,Pass
27,99.02884001,85,Yes,64,Pass
28,50.37671816,53,No,50,Fail
30,87.73176459,84,Yes,69,Pass
30,55.713365,78,No,50,Fail
38,99.4364391,79,Yes,68,Pass
32,80.37776111,87,No,69,Pass
28,70.2624044,99,Yes,62,Pass
38,68.8369485,64,No,50,Fail
38,82.25270839,95,No,76,Pass
24,84.88209357,81,Yes,67,Pass
25,73.81053484,75,No,50,Fail
37,93.053401,81,Yes,61,Pass
35,92.22203363,95,Yes,64,Pass
23,54.39438123,90,Yes,53,Fail
35,98.75335815,89,No,71,Pass
22,84.14910317,100,Yes,63,Pass
35,56.65584643,100,No,57,Fail
34,74.69907436,94,Yes,53,Fail
31,67.07816052,59,No,50,Fail
22,84.14910317,100,Yes,63,Pass
28,76.06503337,72,No,54,Fail
13,87.07304556,95,Yes,58,Fail
16,74.77118132,62,No,50,Fail
17,57.84888414,86,Yes,50,Fail
37,76.48308393,82,Yes,63,Pass
38,50.26269093,52,Yes,51,Fail
21,71.85966982,98,No,62,Pass
10,52.20827189,93,Yes,52,Fail
21,71.85966982,98,No,62,Pass
33,87.99777045,56,No,55,Fail
30,89.02478538,69,No,56,Fail
19,87.95179228,100,No,64,Pass
30,55.24345833,98,No,62,Pass
13,94.71086314,64,Yes,50,Fail
36,53.86605327,85,Yes,53,Fail
29,66.07913823,98,Yes,60,Pass
21,71.85966982,98,No,62,Pass
29,94.83051315,61,No,50,Fail
31,87.8540601,88,No,65,Pass
26,93.91103337,94,No,65,Pass
26,70.63967753,56,Yes,55,Fail
17,53.41248527,91,No,50,Fail
19,57.05409244,69,No,50,Fail
25,95.02861506,65,Yes,50,Fail
13,85.70320411,73,No,53,Fail
13,84.22857739,100,Yes,65,Pass
18,51.71140554,67,No,50,Fail
19,87.95179228,100,No,64,Pass
34,88.56233343,96,Yes,72,Pass
33,95.77568386,89,No,69,Pass
39,91.92912794,87,No,73,Pass
39,60.97552625,60,No,50,Fail
39,60.45653955,93,Yes,59,Fail
32,80.37776111,87,No,69,Pass
18,75.11441737,59,Yes,50,Fail
28,59.31604397,55,Yes,50,Fail
37,60.2500905,77,No,51,Fail
22,82.33324596,57,No,50,Fail
28,58.336538,51,No,50,Fail
34,79.75244899,93,No,59,Fail
20,89.07572409,92,Yes,62,Pass
25,88.54556885,87,No,61,Pass
34,81.04028422,93,No,69,Pass
21,56.14053909,78,No,50,Fail
36,67.2191866,69,No,57,Fail
12,99.54647382,89,No,67,Pass
36,97.22048628,93,Yes,65,Pass
10,86.84112377,99,No,57,Fail
12,89.59089197,53,Yes,50,Fail
37,93.053401,81,Yes,61,Pass
15,91.85394954,93,Yes,67,Pass
21,95.86978065,58,Yes,66,Pass
18,74.85059744,67,No,50,Fail
35,98.75335815,89,No,71,Pass
35,78.1982546,54,Yes,57,Fail
35,73.00595795,74,Yes,60,Pass
34,73.28500612,62,Yes,55,Fail
21,74.91238489,96,No,61,Pass
20,91.1291938,69,Yes,50,Fail
10,61.1924533,99,Yes,53,Fail
14,91.39704436,94,Yes,73,Pass
38,81.20507721,59,No,60,Pass
21,96.14801159,84,No,65,Pass
31,74.90825933,89,No,68,Pass
26,95.93752611,75,No,61,Pass
15,89.50067794,67,Yes,52,Fail
15,79.37268021,83,No,61,Pass
13,88.38897507,97,Yes,59,Fail
29,74.8732447,82,No,60,Pass
39,54.61452931,73,Yes,60,Pass
37,88.98793874,74,Yes,64,Pass
29,68.86429826,92,No,64,Pass
15,77.83607924,95,Yes,61,Pass
13,95.53430991,56,Yes,60,Pass
24,74.0572697,53,No,50,Fail
34,98.72736326,94,Yes,66,Pass
30,99.8846308,98,No,74,Pass
31,93.71588024,52,Yes,55,Fail
20,89.07572409,92,Yes,62,Pass
10,79.91430291,69,No,50,Fail
13,51.64233351,78,Yes,50,Fail
34,74.39049004,83,No,59,Fail
31,79.2383053,88,No,57,Fail
22,89.2334132,62,Yes,50,Fail
18,85.24627748,60,Yes,52,Fail
29,92.536373,55,No,61,Pass
18,86.3047793,59,Yes,51,Fail
26,69.57410551,80,Yes,53,Fail
11,84.68588037,88,Yes,67,Pass
16,91.53272533,95,Yes,64,Pass
34,88.56233343,96,Yes,72,Pass
27,55.32893651,82,No,52,Fail
22,68.13789473,87,No,54,Fail
22,60.90115537,61,Yes,50,Fail
35,73.00595795,74,Yes,60,Pass
15,59.10535694,60,No,50,Fail
23,85.70295999,98,No,60,Pass
38,86.07982754,90,No,72,Pass
23,86.31985163,83,Yes,55,Fail
11,53.77516819,76,Yes,50,Fail
33,99.26836561,90,Yes,64,Pass
35,74.1877471,88,No,69,Pass
17,87.84995661,83,No,58,Fail
33,83.49587323,100,No,71,Pass
37,86.04065482,64,No,61,Pass
25,96.68459119,58,Yes,53,Fail
32,56.95580971,61,Yes,50,Fail
13,74.90453768,89,No,50,Fail
11,72.9673404,88,No,54,Fail
10,70.39922477,95,No,50,Fail
35,78.65754246,76,Yes,60,Pass
38,91.82824066,64,Yes,61,Pass
39,51.52360764,92,No,64,Pass
33,87.29872628,73,Yes,72,Pass
30,67.25413139,67,No,50,Fail
37,79.86390411,73,Yes,70,Pass
28,52.4047322,62,No,50,Fail
23,75.75868412,52,Yes,50,Fail
14,78.79992089,91,Yes,61,Pass
22,56.13884448,73,No,50,Fail
38,91.82824066,64,Yes,61,Pass
22,55.1546873,90,No,51,Fail
35,60.27899042,83,No,62,Pass
20,59.22314357,96,Yes,64,Pass
38,61.45126955,51,No,50,Fail
12,99.54647382,89,No,67,Pass
39,67.12621286,81,Yes,59,Fail
27,99.02884001,85,Yes,64,Pass
11,63.73658985,84,Yes,50,Fail
28,55.2123483,84,Yes,50,Fail
35,90.25223338,82,Yes,68,Pass
12,84.58571986,80,Yes,60,Pass
16,67.79957421,95,Yes,52,Fail
35,77.14246553,63,No,57,Fail
39,81.66203875,97,Yes,66,Pass
31,90.34250745,56,No,58,Fail
11,84.68588037,88,Yes,67,Pass
36,97.22048628,93,Yes,65,Pass
23,85.70295999,98,No,60,Pass
14,68.9386313,52,No,50,Fail
23,84.84807312,74,Yes,68,Pass
29,75.30519782,77,No,61,Pass
34,98.72736326,94,Yes,66,Pass
38,79.41533379,94,No,63,Pass
25,50.61015362,64,No,50,Fail
10,73.55327263,57,No,50,Fail
32,93.03160089,78,Yes,77,Pass
36,55.14907397,93,No,61,Pass
10,96.32247118,97,No,56,Fail
18,67.70733354,75,Yes,50,Fail
36,95.92273625,88,No,64,Pass
30,87.4808116,59,Yes,50,Fail
27,96.64690335,65,No,63,Pass
35,76.99213895,81,No,65,Pass
35,53.76795302,67,Yes,50,Fail
10,72.71339861,89,Yes,54,Fail
24,92.11570176,78,No,53,Fail
17,82.44114201,98,Yes,62,Pass
22,93.41505535,88,No,63,Pass
36,55.33496251,82,No,56,Fail
12,53.35877,81,Yes,50,Fail
26,55.7118963,82,Yes,52,Fail
37,89.7144725,94,Yes,66,Pass
21,81.24879935,50,Yes,55,Fail
22,65.57365856,63,No,50,Fail
34,51.84109338,99,No,54,Fail
36,95.16819063,94,Yes,64,Pass
37,98.65551746,63,Yes,70,Pass
14,90.75272142,59,Yes,55,Fail
17,91.08953184,53,Yes,53,Fail
28,66.19950306,58,Yes,53,Fail
27,87.620156,90,Yes,52,Fail
19,99.31284979,60,No,60,Pass
39,89.50423186,67,Yes,64,Pass
25,88.54556885,87,No,61,Pass
31,53.31179889,98,No,67,Pass
32,57.3869546,78,Yes,50,Fail
34,80.8631856,94,Yes,65,Pass
21,91.87453945,96,Yes,65,Pass
31,77.58612976,99,No,66,Pass
29,75.30519782,77,No,61,Pass
29,74.0418489,90,Yes,62,Pass
38,99.4364391,79,Yes,68,Pass
11,73.65831005,76,Yes,54,Fail
16,91.53272533,95,Yes,64,Pass
29,81.23806355,57,Yes,50,Fail
10,92.03549929,54,Yes,50,Fail
25,91.98944297,64,Yes,57,Fail
38,91.82824066,64,Yes,61,Pass
38,76.75348595,70,No,64,Pass
36,95.92273625,88,No,64,Pass
31,77.58612976,99,No,66,Pass
33,76.99303186,90,Yes,69,Pass
18,58.27602552,82,Yes,50,Fail
30,87.478915,56,Yes,50,Fail
32,75.58285068,86,Yes,63,Pass
22,85.34902306,66,Yes,50,Fail
13,76.7518366,73,No,50,Fail
22,53.8882672,55,Yes,50,Fail
30,79.35341121,64,Yes,50,Fail
34,86.01012908,51,No,58,Fail
18,81.16662755,99,No,56,Fail
10,73.83097421,64,No,50,Fail
12,93.17590703,66,No,52,Fail
10,67.25960724,96,Yes,64,Pass
23,85.68912274,72,No,55,Fail
37,88.98793874,74,Yes,64,Pass
14,94.87152049,74,Yes,63,Pass
31,87.8540601,88,No,65,Pass
38,55.14580154,97,Yes,58,Fail
27,88.26781405,64,Yes,67,Pass
12,62.80077659,66,Yes,50,Fail
38,65.38886199,93,No,67,Pass
16,51.69395801,96,Yes,51,Fail
28,79.69415488,66,No,50,Fail
25,73.69849707,84,Yes,57,Fail
24,70.58306072,98,No,57,Fail
38,57.15639928,80,Yes,54,Fail
31,53.31179889,98,No,67,Pass
22,73.97910509,91,No,57,Fail
27,96.64690335,65,No,63,Pass
28,76.5632877,53,No,50,Fail
28,52.29306332,78,No,50,Fail
38,76.75348595,70,No,64,Pass
39,89.50423186,67,Yes,64,Pass
10,91.25663383,85,Yes,63,Pass
37,79.86390411,73,Yes,70,Pass
25,50.26500032,64,No,50,Fail
20,88.92859695,89,Yes,61,Pass
19,87.95179228,100,No,64,Pass
35,73.41159142,52,No,50,Fail
38,65.38886199,93,No,67,Pass
32,97.95373973,69,No,58,Fail
38,65.38886199,93,No,67,Pass
21,84.94229266,90,Yes,63,Pass
34,98.72736326,94,Yes,66,Pass
21,96.14801159,84,No,65,Pass
20,88.92859695,89,Yes,61,Pass
39,91.92912794,87,No,73,Pass
14,94.87152049,74,Yes,63,Pass
13,94.37302413,69,Yes,62,Pass
34,67.75521516,69,Yes,52,Fail
11,81.94746927,94,No,53,Fail
27,79.49779486,78,No,59,Fail
27,54.22585038,95,Yes,56,Fail
30,79.20997424,84,Yes,65,Pass
28,64.89797258,67,No,51,Fail
16,98.13246593,66,No,51,Fail
13,94.37302413,69,Yes,62,Pass
34,81.04028422,93,No,69,Pass
21,71.17984312,99,No,59,Fail
12,89.97685655,91,No,57,Fail
37,82.14627818,60,No,64,Pass
26,61.80582666,74,No,50,Fail
10,99.96767498,55,No,59,Fail
31,67.57700806,96,Yes,62,Pass
39,60.25387801,57,Yes,50,Fail
21,70.42591465,68,No,50,Fail
35,68.46152408,99,No,67,Pass
21,74.91238489,96,No,61,Pass
20,95.39330652,54,Yes,54,Fail
38,78.98249672,96,No,71,Pass
27,88.26781405,64,Yes,67,Pass
25,88.54556885,87,No,61,Pass
33,95.77568386,89,No,69,Pass
29,51.15113024,99,No,50,Fail
31,77.58612976,99,No,66,Pass
28,90.03748857,78,No,67,Pass
11,84.68588037,88,Yes,67,Pass
28,90.26574837,74,Yes,64,Pass
24,57.00092693,82,Yes,53,Fail
38,86.07982754,90,No,72,Pass
36,95.92273625,88,No,64,Pass
35,76.59287398,67,No,62,Pass
38,63.61509274,95,No,58,Fail
37,61.36978104,100,No,66,Pass
30,84.15919282,77,No,61,Pass
22,95.59262044,66,No,50,Fail
25,88.54929628,83,No,56,Fail
30,95.63747314,78,No,61,Pass
26,65.64274283,71,No,52,Fail
21,84.94229266,90,Yes,63,Pass
11,84.68588037,88,Yes,67,Pass
25,80.18607659,83,No,67,Pass
35,76.59287398,67,No,62,Pass
16,75.27539396,78,Yes,57,Fail
35,67.37067041,65,Yes,56,Fail
13,56.75006387,58,Yes,50,Fail
19,99.31284979,60,No,60,Pass
12,78.45407346,97,No,53,Fail
39,76.8295323,62,Yes,68,Pass
16,65.5722132,81,Yes,50,Fail
19,63.87935863,71,No,50,Fail
22,76.38238651,74,No,50,Fail
13,84.22857739,100,Yes,65,Pass
14,98.39970333,54,No,55,Fail
26,92.0219816,61,No,59,Fail
19,86.81235918,67,Yes,54,Fail
35,76.99213895,81,No,65,Pass
39,81.66203875,97,Yes,66,Pass
10,68.96142925,82,No,58,Fail
38,91.82824066,64,Yes,61,Pass
20,59.22314357,96,Yes,64,Pass
18,89.9891011,68,No,56,Fail
25,50.12975122,55,Yes,50,Fail
38,79.32677173,66,Yes,57,Fail
28,90.03748857,78,No,67,Pass
10,59.32024934,76,Yes,50,Fail
25,80.18607659,83,No,67,Pass
32,85.54762394,97,Yes,64,Pass
25,77.8871133,67,Yes,50,Fail
24,97.90853965,62,Yes,53,Fail
14,85.36150478,86,No,57,Fail
21,96.14801159,84,No,65,Pass
10,91.45821104,100,No,59,Fail
35,53.11706813,69,No,54,Fail
33,87.29872628,73,Yes,72,Pass
15,75.62288279,100,Yes,54,Fail
35,68.46152408,99,No,67,Pass
37,50.11696953,71,No,55,Fail
19,54.51684803,64,No,50,Fail
38,92.54087589,60,Yes,64,Pass
21,69.85819163,90,No,50,Fail
22,93.349688,76,No,60,Pass
14,84.65876057,78,No,50,Fail
35,60.27899042,83,No,62,Pass
25,98.38496941,75,No,57,Fail
21,96.14801159,84,No,65,Pass
22,80.40439248,93,No,55,Fail
